epoch,batch,d_loss,d_acc,g_loss,g_acc
1,20,0.019086314,1.0,0.25613952,0.92578125
1,40,0.13258833,0.9863281,1.6814129,0.10546875
1,60,0.2147998,0.9628906,2.032145,0.06640625
1,80,0.22556409,0.9433594,2.3967285,0.01953125
1,100,0.17565195,0.9511719,1.6268768,0.140625
1,120,0.40921253,0.8203125,2.3999906,0.03125
1,140,0.24748391,0.9238281,2.6629837,0.01171875
1,160,0.091080286,0.984375,3.7001712,0.0
1,180,0.080231056,0.9921875,3.185194,0.0
1,200,0.053321883,0.9980469,4.2000365,0.0
1,220,0.052667238,0.99609375,4.0995708,0.01171875
2,20,0.06889966,0.9902344,1.3346018,0.296875
2,40,0.06447862,0.9941406,4.0640903,0.0
2,60,0.07844677,0.98828125,4.0186863,0.00390625
2,80,0.043946423,0.9921875,4.8183084,0.00390625
2,100,0.20060666,0.91796875,3.7265508,0.08203125
2,120,0.0416383,0.99609375,4.448655,0.0
2,140,0.023959247,0.9980469,4.9523206,0.0
2,160,0.023093969,0.99609375,5.607323,0.0
2,180,0.030163608,0.9980469,4.672152,0.0
2,200,0.085703544,0.98828125,3.2958338,0.00390625
2,220,0.117697984,0.9589844,4.388529,0.0078125
3,20,0.083685525,0.9765625,4.209499,0.01171875
3,40,0.18439746,0.9199219,3.3345506,0.08203125
3,60,0.14681363,0.96875,3.3244667,0.015625
3,80,0.08432773,0.9785156,3.8016667,0.01171875
3,100,0.35038537,0.8535156,3.0694873,0.12109375
3,120,0.105219945,0.96875,4.793811,0.015625
3,140,0.08897723,0.9765625,4.0187283,0.0234375
3,160,0.08507036,0.9824219,4.614746,0.01953125
3,180,0.33137068,0.87109375,4.083757,0.02734375
3,200,0.68172616,0.6484375,2.0385258,0.203125
3,220,0.35781777,0.83203125,4.3132906,0.0234375
4,20,0.115615204,0.9667969,3.8043773,0.03125
4,40,0.29707918,0.8535156,2.8984115,0.0859375
4,60,0.20240232,0.9238281,2.7000113,0.1328125
4,80,0.07521221,0.9824219,3.9441504,0.02734375
4,100,0.22174573,0.9277344,3.3248894,0.078125
4,120,0.11259779,0.9667969,3.0126438,0.0703125
4,140,0.0317177,0.9980469,4.873806,0.01171875
4,160,0.07846314,0.984375,5.518406,0.01171875
4,180,0.095768206,0.9765625,4.791721,0.0078125
4,200,0.059748694,0.9902344,5.325225,0.0078125
4,220,0.118840754,0.96484375,4.004136,0.01953125
5,20,0.07890782,0.9902344,2.382562,0.08984375
5,40,0.85772115,0.61328125,1.768127,0.328125
5,60,0.060925588,0.98828125,3.8727696,0.01953125
5,80,0.042419937,0.9980469,3.4673524,0.078125
5,100,0.079551496,0.9824219,3.7341914,0.03125
5,120,0.0317446,0.9941406,5.058402,0.01171875
5,140,0.0028626744,0.9980469,7.1488924,0.0
5,160,0.014666086,0.9980469,7.022184,0.0
5,180,0.12211824,0.9550781,1.5933021,0.3515625
5,200,0.04924047,0.98828125,5.6618376,0.0
5,220,0.04245615,0.9921875,6.1742373,0.00390625
6,20,0.022597827,0.9921875,5.527389,0.0078125
6,40,0.27404255,0.87890625,4.130721,0.0390625
6,60,0.18349642,0.9375,3.4806638,0.03515625
6,80,0.42204413,0.80078125,1.5135148,0.34765625
6,100,0.10715919,0.9707031,4.270059,0.04296875
6,120,0.07133347,0.9863281,4.503646,0.0234375
6,140,0.060750388,0.984375,5.4053516,0.015625
6,160,0.117898844,0.97265625,4.652546,0.03515625
6,180,0.02810477,0.9921875,5.7260613,0.0
6,200,0.06203621,0.9824219,5.557698,0.03125
6,220,0.03382669,0.9921875,6.037552,0.0
7,20,0.08410359,0.98046875,3.7559605,0.03125
7,40,0.06334845,0.9863281,4.5095363,0.03125
7,60,0.065616965,0.9921875,5.2146115,0.015625
7,80,0.022083675,0.9980469,5.9181223,0.01171875
7,100,0.04788573,0.9902344,9.94882,0.0
7,120,0.035981596,0.984375,11.016376,0.0
7,140,0.046369113,0.9921875,3.9552135,0.06640625
7,160,0.036099862,0.9941406,3.8813848,0.01953125
7,180,0.06537278,0.9824219,3.9491928,0.05859375
7,200,0.11038491,0.9628906,6.914577,0.00390625
7,220,0.037133727,0.99609375,2.4499369,0.1328125
8,20,0.04809397,0.98828125,3.2447271,0.06640625
